AssayPattern,Enabled,IsMTB,PosRegex,NegRegex,ErrRegex,PosWins,Note
CARBA-R IUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
CARBA-R RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Carba-R BEU IUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Carba-R BEU RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Ebola RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
GBS LB RUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
GBS LB XC IUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
HCV IUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
HCV VL WB RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
HCV Viral Load RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
