Assay,Call,MatchType,Pattern,Note,Enabled,Priority
*,ERROR,EQUALS,ERROR,Generic: Test Result = ERROR,TRUE,9500
*,ERROR,CONTAINS,NO RESULT,Generic: NO RESULT,TRUE,9500
*,ERROR,CONTAINS,Aborted,,,
*,ERROR,CONTAINS,INVALID,Generic: INVALID (non-HPV),TRUE,1000
Xpert MTB-RIF Assay G4,NEG,CONTAINS,MTB NOT DETECTED,MTB family: MTB NOT DETECTED => NEG,TRUE,9400
Xpert MTB-XDR,NEG,CONTAINS,MTB NOT DETECTED,MTB family: MTB NOT DETECTED => NEG,TRUE,9400
Xpert MTB-RIF Ultra,NEG,CONTAINS,MTB NOT DETECTED,MTB family: MTB NOT DETECTED => NEG,TRUE,9400
Xpert MTB-RIF JP IVD,NEG,CONTAINS,MTB NOT DETECTED,MTB family: MTB NOT DETECTED => NEG,TRUE,9400
Xpert MTB-XDR,POS,CONTAINS,MTB Trace DETECTED,MTB family: MTB Trace DETECTED => POS (even if RIF indeterminate),TRUE,9390
Xpert MTB-RIF Ultra,POS,CONTAINS,MTB Trace DETECTED,MTB family: MTB Trace DETECTED => POS (even if RIF indeterminate),TRUE,9390
Xpert MTB-RIF JP IVD,POS,CONTAINS,MTB Trace DETECTED,MTB family: MTB Trace DETECTED => POS (even if RIF indeterminate),TRUE,9390
Xpert MTB-RIF Assay G4,POS,CONTAINS,MTB Trace DETECTED,MTB family: MTB Trace DETECTED => POS (even if RIF indeterminate),TRUE,9390
Xpert MTB-RIF Assay G4,POS,CONTAINS,MTB DETECTED,MTB family: MTB DETECTED => POS (covers HIGH/LOW; even if RIF indeterminate),TRUE,9380
Xpert MTB-RIF Ultra,POS,CONTAINS,MTB DETECTED,MTB family: MTB DETECTED => POS (covers HIGH/LOW; even if RIF indeterminate),TRUE,9380
Xpert MTB-RIF JP IVD,POS,CONTAINS,MTB DETECTED,MTB family: MTB DETECTED => POS (covers HIGH/LOW; even if RIF indeterminate),TRUE,9380
Xpert MTB-XDR,POS,CONTAINS,MTB DETECTED,MTB family: MTB DETECTED => POS (covers HIGH/LOW; even if RIF indeterminate),TRUE,9380
Xpert MRSA NxG,POS,EQUALS,MRSA DETECTED,Spec MRSA NxG SampleType 1,TRUE,9000
Xpert MTB-RIF US IVD,NEG,EQUALS,MTB NOT DETECTED,Spec MTB SampleType 0,TRUE,9000
Xpert HPV HR,POS,EQUALS,HR HPV POS,Spec HPV SampleType 1,TRUE,9000
Xpert MTB-RIF Ultra,NEG,EQUALS,MTB NOT DETECTED,Spec MTB U SampleType 0,TRUE,9000
Xpert HIV-1 Viral Load XC,POS,REGEX,HIV\-1\ DETECTED\ .*\ copies/mL\ \(log\ .*\..*\),Spec HIV VL XC SampleType 1 (wildcard),TRUE,9000
Xpert MTB-RIF Ultra,POS,REGEX,MTB\ DETECTED\ .*;Rif\ Resistance\ DETECTED,Spec MTB U SampleType 1 (wildcard),TRUE,9000
Xpert MTB-RIF Ultra,POS,REGEX,MTB\ DETECTED\ .*;Rif\ Resistance\ NOT\ DETECTED,Spec MTB U SampleType 2 (wildcard),TRUE,9000
Xpert HPV HR,NEG,EQUALS,INVALID,Spec HPV SampleType 0,TRUE,9000
Xpert MTB-XDR,POS,EQUALS,MTB DETECTED;INH Resistance DETECTED;FLQ Resistance DETECTED;AMK Resistance DETECTED;KAN Resistance DETECTED;CAP Resistance DETECTED;ETH Resistance DETECTED,Spec MTB XDR SampleType 2,TRUE,9000
Xpert MTB-XDR,POS,EQUALS,MTB DETECTED;INH Resistance NOT DETECTED;FLQ Resistance NOT DETECTED;AMK Resistance NOT DETECTED;KAN Resistance NOT DETECTED;CAP Resistance NOT DETECTED;ETH Resistance NOT DETECTED,Spec MTB XDR SampleType 1,TRUE,9000
Xpert HIV-1 Viral Load XC,NEG,EQUALS,HIV-1 NOT DETECTED,Spec HIV VL XC SampleType 0,TRUE,9000
Xpert MTB-XDR,NEG,EQUALS,MTB NOT DETECTED,Spec MTB XDR SampleType 0,TRUE,9000
Xpert HCV VL Fingerstick,POS,REGEX,HCV\ DETECTED\ .*\ IU/mL\ \(log\ .*\..*\),Spec HCV FS SampleType 1 (wildcard),TRUE,9000
Xpert Norovirus,POS,EQUALS,NORO GI DETECTED;NORO GII DETECTED,Spec NORO SampleType 1,TRUE,9000
Xpert MTB-RIF US IVD,POS,EQUALS,MTB DETECTED;Rif Resistance NOT DETECTED,Spec MTB SampleType 1,TRUE,9000
Xpert HPV v2 HR,POS,EQUALS,HR HPV POS,Spec HPV SampleType 1,TRUE,9000
Xpert MTB-RIF JP IVD,NEG,EQUALS,MTB NOT DETECTED,Spec MTB JP SampleType 0,TRUE,9000
Xpert MRSA_SA_BC_CE,NEG,EQUALS,MRSA NEGATIVE;SA NEGATIVE,Spec MRSA SA SampleType 0,TRUE,9000
Xpert MRSA-SA BC G3,NEG,EQUALS,MRSA NEGATIVE;SA NEGATIVE,Spec MRSA SA SampleType 0,TRUE,9000
Xpert MRSA-SA BC G3,POS,EQUALS,MRSA POSITIVE;SA POSITIVE,Spec MRSA SA SampleType 1,TRUE,9000
Xpert MRSA-SA SSTI G3,NEG,EQUALS,MRSA NEGATIVE;SA NEGATIVE,Spec MRSA SA SampleType 0,TRUE,9000
Xpert MRSA-SA SSTI G3,POS,EQUALS,MRSA POSITIVE;SA POSITIVE,Spec MRSA SA SampleType 1,TRUE,9000
Xpert MRSA_SA_BC,NEG,EQUALS,MRSA NEGATIVE;SA NEGATIVE,Spec MRSA SA SampleType 0,TRUE,9000
Xpert MRSA_SA_BC,POS,EQUALS,MRSA POSITIVE;SA POSITIVE,Spec MRSA SA SampleType 1,TRUE,9000
Xpert MRSA_SA_BC_CE,POS,EQUALS,MRSA POSITIVE;SA POSITIVE,Spec MRSA SA SampleType 1,TRUE,9000
Xpert MRSA NxG,NEG,EQUALS,MRSA NOT DETECTED,Spec MRSA NxG SampleType 0,TRUE,9000
Xpert HPV v2 HR,NEG,EQUALS,INVALID,Spec HPV SampleType 0,TRUE,9000
Xpert MTB-RIF Assay G4,NEG,EQUALS,MTB NOT DETECTED,Spec MTB SampleType 0,TRUE,9000
Xpert SA Nasal Complete G3,NEG,EQUALS,MRSA NEGATIVE;SA NEGATIVE,Spec MRSA SA SampleType 0,TRUE,9000
Xpert MTB-RIF Assay G4,POS,REGEX,MTB\ DETECTED\ .*;Rif\ Resistance\ NOT\ DETECTED,Spec MTB SampleType 1 (wildcard),TRUE,9000
Xpert MTB-RIF JP IVD,POS,EQUALS,MTB DETECTED;Rif Resistance DETECTED,Spec MTB JP SampleType 2,TRUE,9000
Xpert MTB-RIF JP IVD,POS,EQUALS,MTB DETECTED;Rif Resistance NOT DETECTED,Spec MTB JP SampleType 1,TRUE,9000
Xpert Norovirus,NEG,EQUALS,NORO GI NOT DETECTED;NORO GII NOT DETECTED,Spec NORO SampleType 0,TRUE,9000
Xpert SA Nasal Complete G3,POS,EQUALS,MRSA POSITIVE;SA POSITIVE,Spec MRSA SA SampleType 1,TRUE,9000
Xpert HCV PQC,NEG,EQUALS,HCV NOT DETECTED,Spec GX HCV SampleType 0,TRUE,9000
Xpert-C. difficile G2,NEG,EQUALS,Toxigenic C.diff NEGATIVE,Spec C.DIFF SampleType 0,TRUE,9000
Xpert_Carba-R,POS,EQUALS,IMP1 DETECTED;VIM DETECTED;NDM DETECTED;KPC DETECTED;OXA48 DETECTED,Spec CARBA SampleType 1,TRUE,9000
Xpert_Carba-R,NEG,EQUALS,IMP1 NOT DETECTED;VIM NOT DETECTED;NDM NOT DETECTED;KPC NOT DETECTED;OXA48 NOT DETECTED,Spec CARBA SampleType 0,TRUE,9000
Xpert_HCV Viral Load,NEG,EQUALS,HCV NOT DETECTED,Spec HCV VL SampleType 0,TRUE,9000
Xpert_HCV Viral Load,POS,REGEX,HCV\ DETECTED\ .*\ IU/mL\ \(log\ .*\..*\),Spec HCV VL SampleType 1 (wildcard),TRUE,9000
Xpert_HIV-1 Viral Load,NEG,EQUALS,HIV-1 NOT DETECTED,Spec HIV VL SampleType 0,TRUE,9000
Xpert_HIV-1 Viral Load,POS,REGEX,HIV\-1\ DETECTED\ .*\ copies/mL\ \(log\ .*\..*\),Spec HIV VL SampleType 1 (wildcard),TRUE,9000
Xpress CoV-2 plus IUO,NEG,EQUALS,SARS-CoV-2 NEGATIVE,Spec Covid plus SampleType 0,TRUE,9000
Xpress CoV-2 plus IUO,POS,EQUALS,SARS-CoV-2 POSITIVE,Spec Covid plus SampleType 1,TRUE,9000
Xpress CoV-2 plus RUO,NEG,EQUALS,SARS-CoV-2 NEGATIVE,Spec Covid plus SampleType 0,TRUE,9000
Xpress CoV-2 plus RUO,POS,EQUALS,SARS-CoV-2 POSITIVE,Spec Covid plus SampleType 1,TRUE,9000
Xpress Flu IPT_EAT off,NEG,EQUALS,Flu A NEGATIVE;Flu B NEGATIVE,Spec FLU RSV SampleType 0,TRUE,9000
