ErrorCode,Name,GeneratesRetest
5001,Curve Fit Error,No
5002,Curve Fit Error,No
5003,Curve Fit Error,No
5004,Curve Fit Error,No
5005,Curve Fit Error,No
5015,Curve Fit Error,No
5016,Curve Fit Error,No
5007,Probe Check Low,No
5017,Probe Check Low,No
5019,Probe Check Low,No
5006,Probe Check High,No
5018,Probe Check High,No
2037,CIT,No
5011,SLD,No
2008,Pressure Abort,No
2096,Sample Volume Adequacy,No
2097,Sample Volume Adequacy,No
2125,Sample Volume Adequacy,No
,Max Pressure > 90 PSI,No
,"Invalid w/o error (non-HPV, SPC Ct=0)",No
####,Delamination + error code,No
,"All types of ""MTB"": RIF Resistance Indeterminate",No
####,Other error codes,Yes
