AssayPattern,SampleTypeCode,SampleNumberTokenIndex,SampleNumberRegex,SampleNumberMin,SampleNumberMax,SampleNumberPad,Enabled,Note,Priority
Xpert C.diff-Epi,0,3,^\d{2},1,10,2,TRUE,Spec C.DIFF: First 10 (Specimen) size=10 => 01-10,9000
Xpert C.diff-Epi,0,3,^\d{2},11,110,2,TRUE,Spec C.DIFF: Negative (Specimen) size=100 => 11-110,9000
Xpert C.diff-Epi,1,3,^\d{2},111,210,2,TRUE,Spec C.DIFF: Positive (Specimen) size=100 => 111-210,9000
Xpert C.difficile G3,0,3,^\d{2},1,10,2,TRUE,Spec C.DIFF JP: First 10 (Specimen) size=10 => 01-10,9000
Xpert C.difficile G3,0,3,^\d{2},11,110,2,TRUE,Spec C.DIFF JP: Negative (Specimen) size=100 => 11-110,9000
Xpert C.difficile G3,1,3,^\d{2},111,180,2,TRUE,Spec C.DIFF JP: Medium Positive (Specimen) size=70 => 111-180,9000
Xpert C.difficile G3,2,3,^\d{2},181,200,2,TRUE,Spec C.DIFF JP: Low Positive (Specimen) size=20 => 181-200,9000
Xpert C.difficile G3,3,3,^\d{2},201,210,2,TRUE,Spec C.DIFF JP: High Positive (Specimen) size=10 => 201-210,9000
CARBA-R IUO,0,3,^\d{2},1,10,2,TRUE,Spec CARBA: First 10 (Negative Control 1) size=10 => 01-10,9000
CARBA-R IUO,0,3,^\d{2},11,150,2,TRUE,Spec CARBA: Negative (Negative Control 1) size=140 => 11-150,9000
CARBA-R IUO,1,3,^\d{2},151,190,2,TRUE,Spec CARBA: Low Positive (Positive Control 1) size=40 => 151-190,9000
CARBA-R IUO,2,3,^\d{2},191,210,2,TRUE,Spec CARBA: High Positive (Positive Control 2) size=20 => 191-210,9000
Xpert Xpress SARS-CoV-2,0,3,^\d{2},1,10,2,TRUE,Spec Sars: First 10 (Negative Control 1) size=10 => 01-10,9000
Xpert Xpress SARS-CoV-2,0,3,^\d{2},11,110,2,TRUE,Spec Sars: Negative (Negative Control 1) size=100 => 11-110,9000
Xpert Xpress SARS-CoV-2,1,3,^\d{2},111,210,2,TRUE,Spec Sars: Positive (Positive Control 1) size=100 => 111-210,9000
LCE009 Xpress SARS-CoV-2 plus,0,3,^\d{2},1,10,2,TRUE,Spec Covid plus: First 10 (Negative Control 1) size=10 => 01-10,9000
LCE009 Xpress SARS-CoV-2 plus,0,3,^\d{2},11,110,2,TRUE,Spec Covid plus: Negative (Negative Control 1) size=100 => 11-110,9000
LCE009 Xpress SARS-CoV-2 plus,1,3,^\d{2},111,210,2,TRUE,Spec Covid plus: Positive (Positive Control 1) size=100 => 111-210,9000
SARS-CoV-2_Flu_RSV plus IUO,0,3,^\d{2},1,10,2,TRUE,Spec FLUVID plus: First 10 (Negative Control 1) size=10 => 01-10,9000
SARS-CoV-2_Flu_RSV plus IUO,0,3,^\d{2},11,110,2,TRUE,Spec FLUVID plus: Negative (Negative Control 1) size=100 => 11-110,9000
SARS-CoV-2_Flu_RSV plus IUO,1,3,^\d{2},111,210,2,TRUE,Spec FLUVID plus: Positive (Positive Control 1) size=100 => 111-210,9000
Xpert CT_CE,0,3,^\d{2},1,10,2,TRUE,Spec CTNG: First 10 (Specimen) size=10 => 01-10,9000
Xpert CT_CE,0,3,^\d{2},11,110,2,TRUE,Spec CTNG: Negative (Specimen) size=100 => 11-110,9000
Xpert CT_CE,1,3,^\d{2},111,210,2,TRUE,Spec CTNG: Positive (Specimen) size=100 => 111-210,9000
Ebola RUO,0,3,^\d{2},1,10,2,TRUE,Spec EBOLA: First 10 (Negative Control 1) size=10 => 01-10,9000
Ebola RUO,0,3,^\d{2},11,110,2,TRUE,Spec EBOLA: Negative (Negative Control 1) size=100 => 11-110,9000
Ebola RUO,1,3,^\d{2},111,190,2,TRUE,Spec EBOLA: Low Positive (Positive Control 1) size=80 => 111-190,9000
Ebola RUO,2,3,^\d{2},191,210,2,TRUE,Spec EBOLA: High Positive (Positive Control 2) size=20 => 191-210,9000
Xpert Xpress GBS,1,3,^\d{2},1,10,2,TRUE,Spec GBS: First 10 (Specimen) size=10 => 01-10,9000
Xpert Xpress GBS,0,3,^\d{2},11,110,2,TRUE,Spec GBS: Negative (Specimen) size=100 => 11-110,9000
Xpert Xpress GBS,1,3,^\d{2},111,210,2,TRUE,Spec GBS: Positive (Specimen) size=100 => 111-210,9000
GBS LB RUO,1,3,^\d{2},1,10,2,TRUE,Spec GBS XC: First 10 (Specimen) size=10 => 01-10,9000
GBS LB RUO,0,3,^\d{2},11,110,2,TRUE,Spec GBS XC: Negative (Specimen) size=100 => 11-110,9000
GBS LB RUO,1,3,^\d{2},111,210,2,TRUE,Spec GBS XC: Positive (Specimen) size=100 => 111-210,9000
GI Panel IUO,1,3,^\d{2},1,10,2,TRUE,Spec GI Panel: First 10 (Specimen) size=10 => 01-10,9000
GI Panel IUO,0,3,^\d{2},11,110,2,TRUE,Spec GI Panel: Negative (Specimen) size=100 => 11-110,9000
GI Panel IUO,1,3,^\d{2},111,210,2,TRUE,Spec GI Panel: Positive (Specimen) size=100 => 111-210,9000
Xpert HBV Viral Load,1,3,^\d{2},1,10,2,TRUE,Spec HBV VL: First 10 (Positive Control 1) size=10 => 01-10,9000
Xpert HBV Viral Load,0,3,^\d{2},11,110,2,TRUE,Spec HBV VL: Negative (Negative Control 1) size=100 => 11-110,9000
Xpert HBV Viral Load,1,3,^\d{2},111,190,2,TRUE,Spec HBV VL: Low Positive (Positive Control 1) size=80 => 111-190,9000
Xpert HBV Viral Load,2,3,^\d{2},191,210,2,TRUE,Spec HBV VL: High Positive (Positive Control 2) size=20 => 191-210,9000
HCV VL WB RUO,1,3,^\d{2},1,10,2,TRUE,Spec HCV FS: First 10 (Positive Control 1) size=10 => 01-10,9000
HCV VL WB RUO,0,3,^\d{2},11,110,2,TRUE,Spec HCV FS: Negative (Negative Control 1) size=100 => 11-110,9000
HCV VL WB RUO,1,3,^\d{2},111,190,2,TRUE,Spec HCV FS: Low Positive (Positive Control 1) size=80 => 111-190,9000
HCV VL WB RUO,2,3,^\d{2},191,210,2,TRUE,Spec HCV FS: High Positive (Positive Control 2) size=20 => 191-210,9000
HCV IUO,1,3,^\d{2},1,10,2,TRUE,Spec GX HCV: First 10 (Positive Control 1) size=10 => 01-10,9000
HCV IUO,0,3,^\d{2},11,110,2,TRUE,Spec GX HCV: Negative (Negative Control 1) size=100 => 11-110,9000
HCV IUO,1,3,^\d{2},111,210,2,TRUE,Spec GX HCV: Positive (Positive Control 1) size=100 => 111-210,9000
